omg;produktnamn;correct_row;turnover;utd13;utd12;utd11;utd10;ant13;ant12;ant11;ant10;count1;countx;count2;random_results;people_was_right;oddset_was_right;people_was_wrong;oddset_was_wrong;people_max_sum;oddset_max_sum;people_min_sum;oddset_min_sum;people_sum;oddset_sum;people_diff_sum;oddset_diff_sum;odds1_ok;odds2_ok;odds3_ok;people1_ok;people2_ok;people3_ok;id
202126;Stryktipset;221222112X11X;14415995;9441;174;16;0;397;8070;70141;346569;5;2;6;0;9;9;1;1;748;668;239;283;640;607;509;385;1;1;1;1;1;1;4129
202127;Stryktipset;1X11X11X111X2;14894019;19422;218;19;0;320;6642;58996;304380;8;4;1;0;7;7;2;3;746;680;240;286;626;586;506;394;1;1;1;1;1;1;4139
202128;Stryktipset;111X112212X21;14585457;48917;507;40;0;127;2802;27828;163981;7;2;4;0;8;6;2;3;736;621;249;314;586;543;487;307;1;1;1;1;1;0;4149
202129;Stryktipset;12121X211XXXX;15120604;525124;3110;185;50;12;474;6348;49045;5;5;3;0;7;7;3;4;710;604;261;324;512;476;449;280;0;1;0;0;1;0;4159
202130;Stryktipset;X11XX12211XX1;13600989;1178752;19218;915;227;3;69;1159;9719;6;5;2;0;3;4;6;4;664;541;237;303;388;413;427;238;1;0;0;0;1;0;4169
202131;Stryktipset;11XXX12X1XXXX;15784073;1025964;26999;1594;372;4;57;772;6881;4;8;1;0;3;3;3;4;649;540;237;311;383;389;412;229;0;1;0;0;0;1;4179
202132;Stryktipset;121121X222X2X;23178516;2263;69;0;0;2663;32311;184591;691162;4;3;6;0;8;6;0;1;719;603;250;319;640;546;469;284;1;1;1;1;1;1;4220
202133;Stryktipset;X11X1211X1211;27842930;10791;96;0;0;1390;28053;214465;919577;8;3;2;0;9;9;3;4;737;652;239;304;657;607;498;348;1;1;1;1;1;1;4230
202134;Stryktipset;XXX2X2X11XX11;34422196;894736;5492;306;78;19;611;8771;70889;4;7;2;0;5;5;2;4;695;580;272;340;484;459;423;240;0;1;1;0;1;1;4240
202135;Stryktipset;X222X1111111X;17099317;3362;69;0;0;1322;23929;179831;772476;7;3;3;0;8;8;1;1;814;780;175;213;694;673;639;567;1;1;1;1;1;1;4250
202136;Stryktipset;2111X22X1X1X1;30834512;5900;76;0;0;2542;39398;272398;1105839;6;4;3;0;9;9;1;2;751;675;232;287;666;620;519;388;1;1;1;1;1;1;4260
202137;Stryktipset;21X12X21XXX12;29607232;10000000;39009;1656;326;0;74;1394;14718;4;5;4;0;4;4;4;6;717;641;257;312;421;438;460;329;0;1;0;0;1;0;4270
202138;Stryktipset;X2X1X1X1XX111;42833577;423392;2134;133;37;62;1957;25047;183761;6;6;1;0;7;7;0;1;724;642;247;299;528;492;477;343;0;1;0;0;1;0;4280
202139;Stryktipset;1X1X12112XX21;28693420;57386;930;70;23;130;3007;31668;200598;6;4;3;0;6;7;2;2;716;610;253;329;557;518;463;281;1;1;1;1;1;1;4290
202140;Stryktipset;122122121X2X1;17432015;14163;219;18;0;320;7740;75475;398188;5;2;6;0;9;9;4;3;749;655;229;276;639;582;520;379;1;1;1;1;1;1;4301
202141;Stryktipset;1212XX2112111;31366062;46362;564;42;0;237;5415;57060;357603;7;2;4;0;8;8;4;2;733;610;234;322;597;531;499;288;1;1;1;1;1;1;4310
202142;Stryktipset;2X2XX11111111;34141950;500000;1789;101;26;40;1860;26352;206521;8;3;2;0;7;6;3;2;733;656;242;294;567;527;491;362;1;1;1;1;1;1;4321
202143;Stryktipset;X222112122121;34238533;500000;3640;227;58;32;917;11732;95570;5;1;7;0;8;10;3;2;700;624;271;316;510;493;429;308;0;1;0;0;1;0;4331
202144;Stryktipset;12X2211112X2X;32482180;2142857;14075;830;199;7;225;3049;26463;5;3;5;0;5;5;4;4;748;657;234;295;442;459;514;362;1;1;0;1;1;0;4341
202145;Stryktipset;XX1111221X211;16836596;273594;3974;207;49;16;413;6341;55553;7;3;3;0;8;8;2;2;804;792;191;203;547;558;613;589;0;1;0;0;1;0;4351
202146;Stryktipset;11111XXX11X2X;26794459;10000000;38991;2044;459;1;67;1022;9486;7;5;1;0;2;3;6;8;699;586;276;340;378;409;423;246;0;1;0;0;1;0;4361
202147;Stryktipset;1X2X1X122X222;31339147;15000000;24842;1243;271;1;123;1966;18773;3;4;6;0;3;4;4;5;710;600;266;329;424;445;444;271;1;0;0;1;0;0;4373
202148;Stryktipset;221XX1212111X;27956489;2214;59;0;0;3282;45717;287404;1071492;6;3;4;0;10;10;2;3;705;604;266;325;661;585;439;279;1;1;1;1;1;1;4385
202149;Stryktipset;1121X21XX11X2;30732425;139018;1103;75;23;108;2716;31924;215912;6;4;3;0;6;6;3;4;753;679;228;285;570;563;525;394;1;1;1;1;1;1;4397
202151;Stryktipset;121212X112121;38168348;76023;437;34;0;342;8506;87204;503522;7;1;5;5;7;7;3;2;732;682;242;287;605;570;490;395;1;1;0;1;1;1;4421
202152;Stryktipset;2121X12121X1X;26521247;1777777;7162;360;84;9;361;5745;51281;6;3;4;2;5;6;5;4;692;614;275;315;503;476;417;299;1;0;1;1;0;1;4463
202201;Stryktipset;X11XXXX11X212;21280437;10000000;66930;1678;290;0;31;989;11892;5;6;2;0;3;3;3;4;768;683;224;277;439;445;544;406;0;1;0;0;1;0;4473
